temp,light,sound,pressure,humidity
225,31,344,0,590
224,30,344,0,588
223,30,340,0,586
226,31,344,0,589
224,31,341,0,589
225,30,342,0,591
226,30,344,0,590
224,30,351,0,588
222,30,350,0,586
223,29,355,0,589
224,30,346,0,588
223,29,336,0,589
226,29,336,0,588
225,29,343,0,590
226,30,340,0,589
223,29,340,0,586
225,29,348,0,589
224,29,393,0,588
225,28,378,0,586
224,28,392,0,591
224,29,364,0,588
225,28,362,0,588
223,28,369,0,585
224,29,357,0,591
226,28,395,0,587
223,28,353,0,587
223,28,357,0,589
224,28,342,0,585
224,27,370,0,586
222,27,343,0,584
226,28,348,0,587
222,27,361,0,588
222,27,336,0,586
223,28,345,0,585
223,28,345,0,584
225,27,360,0,585
224,28,347,0,587
226,28,346,0,584
223,27,338,0,583
226,28,343,0,585
223,27,352,0,587
223,28,356,0,585
224,28,354,0,587
225,27,345,0,587
226,27,373,0,589
223,27,356,0,584
226,27,355,0,584
226,27,339,0,586
225,27,342,0,587
224,26,344,0,583
225,26,342,0,586
224,26,336,0,583
226,26,337,0,585
226,26,345,0,585
225,26,344,0,583
223,25,340,0,582
223,25,336,0,586
223,25,375,0,582
223,25,338,0,581
224,24,336,0,585
224,25,359,0,583
223,23,335,0,585
224,22,342,0,584
223,22,333,0,585
224,23,333,0,583
226,22,335,0,585
224,23,332,0,581
225,23,346,0,586
223,24,336,0,580
223,25,382,0,581
227,25,342,0,583
226,23,335,0,587
223,24,335,0,579
226,24,334,0,582
226,24,337,0,581
224,24,335,0,582
225,24,334,0,581
226,24,340,0,580
227,24,336,0,583
225,24,337,0,581
226,24,333,0,582
224,24,356,0,581
223,23,337,0,579
227,23,346,0,581
224,24,342,0,580
225,24,332,0,580
226,23,341,0,579
223,23,336,0,581
223,23,336,0,578
225,22,331,0,580
226,22,336,0,582
226,23,339,0,578
223,22,332,0,577
225,22,334,0,578
226,22,339,0,578
223,22,335,0,580
224,22,362,0,579
227,22,331,0,577
227,22,335,0,580
225,23,360,0,580
226,22,336,0,578
226,21,349,0,578
224,22,335,0,578
225,22,357,0,577
223,22,333,0,581
222,22,339,0,578
226,21,338,0,577
224,22,337,0,579
226,22,355,0,581
226,21,338,0,578
223,21,346,0,578
223,22,357,0,578
227,21,348,0,580
226,21,342,0,577
224,21,340,0,578
226,20,340,0,577
223,21,336,0,579
226,20,339,0,578
223,22,344,0,577
227,21,336,0,578
226,21,336,0,578
227,22,343,0,580
227,21,341,0,576
227,21,341,0,578
224,22,336,0,577
227,21,337,0,578
227,21,368,0,576
225,21,337,0,575
227,21,333,0,579
224,21,333,0,575
225,21,334,0,577
227,21,338,0,576
227,21,337,0,579
224,21,339,0,576
224,20,340,0,574
227,21,337,0,575
227,20,335,0,573
227,20,335,0,579
226,20,364,0,574
225,20,338,0,574
227,20,354,0,578
224,20,338,0,577
227,20,343,0,575
224,19,338,0,573
223,19,334,0,571
227,19,338,0,577
227,19,342,0,575
224,19,345,0,574
225,20,347,0,572
225,19,336,0,574
227,19,355,0,573
226,19,343,0,576
224,19,335,0,576
225,18,336,0,576
227,19,365,0,575
224,19,435,0,574
228,19,341,0,572
227,19,340,0,572
227,19,333,0,572
224,18,345,0,575
224,19,337,0,575
228,19,336,0,573
226,20,335,0,573
228,19,340,0,573
224,20,336,0,573
227,19,339,0,572
227,20,349,0,575
226,20,344,0,577
224,20,342,0,572
227,19,339,0,572
225,15,334,0,576
226,17,343,0,572
227,19,353,0,572
225,19,338,0,574
227,19,336,0,575
224,20,338,0,574
225,20,336,0,575
227,19,339,0,575
227,19,338,0,576
226,81,339,0,573
228,25,613,0,573
226,52,337,0,571
225,21,336,0,572
228,23,335,0,571
228,23,339,0,575
227,20,353,0,574
227,19,340,0,574
225,21,397,0,571
227,26,342,0,571
224,20,524,0,571
227,20,347,0,574
225,20,355,0,573
225,21,452,0,573
227,20,346,0,573
226,21,516,0,573
227,19,345,0,573
227,19,364,0,574
224,18,359,0,572
228,21,453,0,572
227,20,417,0,571
225,19,408,0,527
226,21,396,0,573
227,21,509,0,570
227,21,446,0,574
238,64,370,0,530
236,67,375,0,531
234,67,385,0,530
236,66,510,0,533
236,62,512,0,532
235,64,347,0,529
235,68,347,0,528
235,67,353,0,528
234,64,381,0,529
236,69,353,0,529
237,69,395,0,528
234,62,352,0,529
237,67,346,0,536
233,66,370,0,528
234,62,401,0,527
235,63,349,0,527
235,65,460,0,529
234,67,511,0,525
238,66,352,0,531
236,70,351,0,528
237,69,435,0,530
234,66,364,0,527
233,69,351,0,527
236,64,394,0,529
233,63,370,0,527
235,68,348,0,528
237,63,350,0,528
235,69,355,0,530
236,69,350,0,529
237,68,347,0,530
233,63,345,0,531
237,68,382,0,532
236,64,435,0,532
233,63,379,0,532
236,71,362,0,530
233,65,376,0,529
233,70,349,0,531
233,66,413,0,530
236,66,355,0,535
236,70,363,0,531
232,65,360,0,530
235,67,368,0,528
233,64,352,0,531
232,63,356,0,529
236,64,395,0,532
235,70,366,0,532
236,71,351,0,533
234,65,353,0,533
234,66,369,0,528
235,70,342,0,531
232,69,532,0,529
236,66,351,0,529
233,71,388,0,531
234,71,353,0,530
233,70,358,0,532
235,71,395,0,498
233,71,489,0,532
234,68,356,0,530
236,64,358,0,530
239,63,353,0,529
238,64,359,0,525
237,65,367,0,523
238,65,535,0,527
238,65,538,0,530
237,67,427,0,526
235,64,351,0,525
234,63,385,0,528
235,69,365,0,527
235,63,364,0,486
236,70,353,0,524
238,66,354,0,526
237,64,344,0,528
238,71,351,0,529
234,71,352,0,528
237,67,370,0,528
234,68,371,0,528
238,68,368,0,527
236,66,357,0,524
238,70,355,0,527
236,67,357,0,526
234,64,372,0,527
238,70,369,0,529
235,71,369,0,529
238,67,353,0,529
238,69,362,0,526
238,65,355,0,527
235,67,388,0,529
237,70,367,0,529
238,64,368,0,530
234,64,363,0,527
237,67,352,0,530
234,64,341,0,529
235,67,370,0,525
234,66,341,0,527
235,66,345,0,528
234,70,334,0,530
235,68,345,0,529
235,70,344,0,529
233,69,373,0,531
237,68,347,0,528
237,70,352,0,525
237,69,341,0,529
236,65,334,0,526
234,68,351,0,525
235,69,352,0,526
237,67,339,0,527
239,68,340,0,525
238,64,340,0,532
238,65,337,0,524
237,69,335,0,528
238,68,339,0,526
237,65,340,0,523
237,71,342,0,524
235,64,349,0,528
235,66,375,0,514
238,69,360,0,529
237,72,351,0,526
235,66,348,0,525
237,67,352,0,527
235,71,346,0,499
235,64,353,0,525
234,64,357,0,524
238,67,338,0,527
236,66,344,0,528
235,66,356,0,522
235,69,368,0,522
235,66,481,0,523
236,65,356,0,525
239,68,350,0,522
236,68,351,0,521
237,65,344,0,523
236,67,350,0,527
238,70,469,0,524
235,66,379,0,523
238,66,353,0,524
235,67,339,0,527
238,65,353,0,523
238,65,337,0,527
238,64,338,0,524
234,70,342,0,521
234,69,340,0,525
236,64,334,0,524
236,65,333,0,523
238,64,335,0,524
237,64,334,0,522
235,64,331,0,526
235,65,337,0,522
238,70,358,0,528
239,70,333,0,530
237,64,337,0,529
238,70,339,0,527
237,66,337,0,526
238,64,332,0,524
238,70,336,0,524
235,70,342,0,519
237,70,333,0,525
234,71,330,0,525
237,65,348,0,514
237,67,334,0,524
238,71,365,0,527
235,68,333,0,520
238,67,339,0,521
239,70,336,0,526
237,65,344,0,521
237,67,348,0,521
239,69,333,0,524
239,65,344,0,522
240,67,344,0,523
238,65,333,0,525
236,64,337,0,524
240,69,355,0,521
238,68,340,0,524
241,66,333,0,520
240,69,331,0,518
241,71,342,0,518
238,71,338,0,519
240,70,344,0,519
241,71,352,0,516
240,65,340,0,520
241,68,335,0,520
241,72,348,0,516
240,69,352,0,519
240,68,352,0,520
239,67,337,0,519
237,71,349,0,517
241,69,351,0,517
237,66,347,0,519
239,66,347,0,516
240,70,348,0,520
240,65,343,0,524
236,71,335,0,518
236,65,333,0,517
244,17,340,0,486
247,16,334,0,482
248,17,336,0,482
247,17,404,0,478
245,17,342,0,476
248,17,344,0,486
248,17,339,0,485
245,16,339,0,485
248,17,335,0,487
247,17,342,0,485
246,16,370,0,483
245,18,340,0,480
248,17,335,0,482
248,17,346,0,478
248,17,341,0,477
247,17,353,0,483
244,17,342,0,481
245,16,343,0,485
248,17,340,0,484
248,17,345,0,482
244,17,353,0,486
244,16,350,0,482
245,17,342,0,481
248,17,342,0,481
248,17,382,0,476
247,17,340,0,478
246,18,398,0,476
247,17,398,0,479
246,17,344,0,475
245,17,352,0,473
245,17,341,0,476
246,18,347,0,479
248,17,384,0,482
24.69,11,370,100558.5,492
24.69,12,432,100556.25,492
,,,,
24.69,10,390,100557.25,495
,,,,
24.69,13,443,100553.75,500
,,,,
24.75,12,500,100561.25,611
,,,,
24.75,12,502,100556.25,584
,,,,
24.75,13,511,100555,580
,,,,
24.75,12,516,100558.5,579
,,,,
24.75,12,510,100558,570
,,,,
24.88,13,513,100562,570
,,,,
24.94,12,519,100564.25,572
,,,,
24.88,13,522,100561.5,570
,,,,
24.88,13,443,100561,573
,,,,
24.94,12,507,100561.75,568
,,,,
24.88,12,509,100557.75,567
,,,,
24.94,12,506,100557.5,567
,,,,
24.94,13,450,100560,571
,,,,
24.94,13,486,100556.5,571
,,,,
24.94,13,512,100558.75,568
,,,,
24.94,13,394,100559.75,561
25.06,13,384,100556.25,563
25.06,13,384,100558,566
25.06,12,405,100557.75,567
25.06,15,573,100553.5,565
25.06,13,416,100555.5,588
25.25,234,505,100596.5,
25.31,233,514,100586.25,716
25.38,233,489,100585.75,717
25.38,234,511,100589.25,718
25.44,234,507,100585,714
25.44,234,506,100588.5,720
25.44,234,512,100591.5,715
25.44,234,454,100587.25,715
25.44,234,442,100585.25,714
25.5,235,514,100594.25,715
25.5,235,456,100588.5,711
25.56,235,513,100589.5,713
25.56,235,489,100586,717
25.63,235,460,100585.5,713
25.63,234,503,100584.75,712
25.63,234,524,100585.75,710
25.69,235,501,100585.75,715
25.69,235,500,100587,715
25.75,234,509,100593,714
25.75,234,498,100580.25,715
25.81,235,513,100585.75,711
25.75,235,517,100584.5,715
25.75,233,462,100581.5,714
25.81,234,455,100580.75,713
25.81,234,521,100583.5,713
25.81,233,506,100586,709
25.81,234,514,100584.5,712
25.88,233,518,100580.5,711
25.88,233,507,100581.25,711
25.94,235,491,100578.75,711
25.94,234,514,100581,709
25.94,234,497,100587.5,708
25.94,233,522,100579.5,710
26,233,510,100585.25,704
26,234,483,100582.25,709
26,234,409,100581.75,707
26,233,480,100580,709
26,233,432,100581,710
26,234,515,100580.75,705
26.06,232,522,100584.5,708
26.06,233,520,100577,707
26.06,234,514,100582.25,707
26.13,234,500,100588,704
26.06,233,512,100578,708
26.06,234,515,100584.25,703
26.06,234,522,100578.25,701
26.13,233,524,100589,702
26.13,234,499,100583.25,703
26.13,233,511,100585,703
26.13,232,494,100581.5,701
26.13,234,474,100579,704
26.13,232,409,100581,701
26.19,234,512,100577.25,701
26.19,232,518,100581.75,703
26.19,234,503,100577.5,699
26.19,234,434,100575,703
26.25,233,382,100584.75,697
26.25,233,515,100578,712
26.25,233,516,100579.5,696
26.31,232,435,100580,640
26.31,233,474,100584.75,698
26.31,232,413,100584,698
26.31,234,410,100581.25,697
26.31,233,375,100579.75,698
26.31,234,429,100581.25,698
26.31,233,517,100580.25,699
26.31,232,409,100581.25,701
26.38,234,382,100584.75,698
26.31,233,509,100577.5,698
26.38,232,484,100582.75,695
26.38,232,540,100576.5,696
26.38,232,509,100578.5,698
26.38,232,511,100576.75,694
26.44,231,530,100583.5,693
26.44,230,515,100581.5,691
26.44,232,393,100583.75,696
26.44,231,488,100576.75,695
26.44,231,427,100577.25,692
26.5,232,520,100583.25,696
26.5,233,509,100578.75,693
26.5,230,525,100578.5,692
26.5,230,413,100574.5,696
26.56,230,527,100578.75,692
26.63,232,505,100581.75,692
26.63,232,396,100577.25,676
26.63,231,476,100574,698
26.63,232,407,100574.25,694
26.63,233,472,100570.5,695
26.63,233,413,100574,691
26.63,233,413,100569.75,691
26.63,232,501,100575.25,692
26.69,232,509,100574,694
26.69,232,492,100576.75,691
26.69,232,508,100570.75,696
26.75,232,518,100573,692
26.75,232,513,100573.25,693
26.75,233,512,100567.25,693
26.81,232,470,100567,696
26.81,233,445,100567.5,693
26.81,233,517,100565,690
26.81,233,506,100563.25,693
26.81,233,422,100561.75,693
26.88,233,467,100560.75,693
26.88,232,376,100561.75,690
26.88,233,377,100565.5,687
26.94,232,379,100567.25,692
26.94,232,379,100569,691
26.94,232,470,100567.5,691
26.94,233,422,100556.75,691
26.94,234,510,100560,692
26.94,233,504,100562.75,689
26.94,234,515,100562.25,688
26.94,233,492,100560,688
27,233,502,100564.75,686
27,233,452,100566.25,685
27,234,441,100569.25,688
27,233,501,100569.75,686
27,232,408,100569,686
27,234,411,100565.25,686
27.06,232,502,100571.5,687
27,232,362,100562.25,682
27.06,232,425,100566,742
27.06,232,478,100565,680
27.06,232,400,100559,684
27.06,234,501,100566.5,684
27.06,232,397,100565.5,682
27.06,234,515,100561.75,685
27.06,232,368,100566.75,685
27.06,232,453,100565.5,751
27.06,232,422,100563.25,715
27.06,233,536,100565.5,684
27,232,407,100560.25,685
27.06,232,500,100563.25,681
27.06,232,369,100562.25,680
27.06,232,380,100567.75,656
27.06,234,373,100560,680
27.06,233,509,100559.25,682
27.06,233,423,100564.5,683
27.13,232,516,100572,679
27.13,232,516,100566.5,681
27.13,231,411,100562,679
27.13,232,511,100566.25,678
27.13,233,491,100563,677
27.13,232,448,100552,676
27.13,232,538,100562.25,685
27.19,231,369,100572.25,677
27.13,232,464,100558.75,682
27.19,232,529,100558,677
27.19,231,512,100567,681
27.19,231,499,100566.25,681
27.25,232,463,100574.75,675
27.25,232,463,100565.5,677
27.19,232,410,100562,676
27.25,231,504,100568.25,677
27.25,231,396,100568.25,681
27.25,230,371,100566.25,674
27.25,232,509,100567.25,675
27.31,233,485,100568,675
27.31,231,509,100567.75,672
27.25,233,501,100561.75,675
27.38,232,510,100572.75,676
27.31,233,503,100564.75,675
27.31,232,452,100565.25,673
27.38,233,387,100564.25,673
27.44,232,488,100575.25,668
27.44,231,476,100573.75,668
27.38,231,447,100570.25,668
27.38,233,441,100566.5,671
27.44,231,368,100568.25,668
27.44,231,427,100569,668
27.5,233,388,100573.25,670
27.44,232,504,100564,670
27.44,233,407,100567.25,669
27.44,231,498,100571.25,667
27.5,231,504,100570.75,672
27.5,232,386,100572,664
27.5,233,521,100572.75,669
27.5,230,508,100569.25,666
27.56,232,497,100574.25,669
27.5,231,420,100569.5,669
27.5,231,467,100566,666
27.56,232,512,100572.75,665
27.63,231,463,100581.25,669
27.5,232,387,100565.75,667
27.56,231,488,100566,664
27.56,230,473,100571.25,667
27.56,231,501,100572,666
27.63,232,457,100575.5,666
27.63,231,515,100570.5,667
27.63,232,504,100575,661
27.63,231,454,100574.75,660
27.63,231,427,100573.5,660
27.63,230,507,100572.75,672
27.69,231,470,100577,662
27.69,230,433,100576,659
27.69,230,517,100575,661
27.69,231,397,100576.25,662
27.63,230,412,100573.5,665
27.69,230,369,100582,662
27.63,232,371,100570,662
27.56,231,391,100567,665
27.63,231,365,100578.25,663
27.63,231,504,100576.25,663
27.56,232,489,100571.25,664
27.63,230,364,100572,663
27.69,231,507,100583,663
27.63,230,381,100569.5,664
27.63,231,519,100571.25,663
27.63,231,453,100576.25,664
27.63,230,448,100578.5,664
27.63,231,501,100574,663
27.69,232,512,100579.25,664
27.63,230,481,100573.25,663
27.63,232,493,100571,668
27.63,231,548,100571,663
27.63,230,464,100573.25,668
27.69,230,497,100575.75,664
27.63,231,417,100567.25,709
27.63,232,458,100576.25,666
27.63,230,363,100567.5,666
27.69,231,471,100573.25,666
27.69,230,406,100576,665
27.69,231,392,100574,666
27.69,232,436,100576.75,668
27.69,230,498,100574.5,667
27.69,231,402,100578.5,669
27.69,231,450,100577.75,667
27.69,231,389,100581.25,668
27.69,230,516,100582,675
27.69,231,438,100568.5,666
27.63,230,519,100577,672
27.63,231,375,100574.25,669
27.63,231,371,100572.5,669
27.69,231,408,100573.5,669
27.69,230,481,100579,668
27.69,230,504,100577,671
27.69,230,432,100580.75,669
27.63,231,444,100574.25,668
27.56,231,514,100570.25,670
27.63,229,360,100581.25,669
27.56,230,398,100571.75,671
27.56,231,457,100568.75,669
27.56,231,415,100571.5,669
27.56,231,518,100571.25,673
27.63,230,463,100576,674
27.63,232,516,100577.75,673
27.63,230,510,100575.25,669
27.56,232,404,100568.75,658
27.56,231,528,100566.75,673
27.56,230,443,100571.75,676
27.56,230,383,100572.5,676
27.63,231,392,100574.25,673
27.63,231,507,100576.75,670
27.63,231,417,100580.25,673
27.63,230,485,100573.25,673
27.63,230,450,100577.25,674
27.63,231,407,100575.75,671
27.63,232,412,100575.75,670
27.63,231,401,100581.5,672
27.63,231,510,100573.75,674
27.63,231,514,100578.25,674
27.63,229,504,100575,674
27.56,229,509,100573.5,673
27.63,229,413,100582,673
27.56,230,520,100570.25,678
27.63,229,506,100573.5,677
27.63,230,506,100574.75,678
27.63,230,504,100577.5,675
27.63,230,361,100579.25,676
27.63,229,382,100576,678
27.63,229,464,100580.25,678
27.63,229,452,100574,675
27.63,231,383,100573.5,674
