temp,light,sound,pressure,humidity
235,297,360,0,566
231,297,361,0,572
235,296,360,0,568
233,296,360,0,570
234,296,353,0,571
234,296,355,0,573
234,295,355,0,571
232,296,368,0,574
234,295,359,0,573
233,295,350,0,574
234,295,379,0,576
234,295,364,0,575
233,294,356,0,574
235,294,355,0,574
233,294,392,0,576
233,294,358,0,576
234,293,354,0,581
236,293,368,0,575
236,294,354,0,576
233,294,361,0,580
234,293,361,0,578
237,293,400,0,573
237,291,398,0,575
237,292,371,0,574
237,291,406,0,574
236,290,370,0,573
237,290,392,0,573
237,290,380,0,566
237,289,355,0,566
236,282,394,0,563
233,283,445,0,566
237,285,369,0,569
235,286,389,0,566
234,286,385,0,566
236,287,368,0,567
234,295,370,0,567
233,286,368,0,564
234,261,543,0,563
233,287,367,0,565
232,287,364,0,567
235,286,384,0,567
233,286,357,0,564
235,286,393,0,569
234,285,360,0,570
234,285,354,0,570
234,285,379,0,571
235,285,383,0,570
235,285,423,0,573
235,285,364,0,574
232,286,362,0,576
235,285,390,0,566
233,285,361,0,566
233,284,356,0,567
234,284,363,0,568
232,283,370,0,568
236,281,353,0,569
234,281,354,0,568
232,278,390,0,574
233,277,431,0,575
233,274,361,0,571
237,272,355,0,575
235,269,361,0,573
234,253,351,0,573
237,261,357,0,571
236,256,413,0,566
233,257,363,0,569
234,257,353,0,571
233,268,353,0,569
233,268,357,0,575
236,274,371,0,568
236,275,353,0,569
234,272,360,0,572
235,272,354,0,569
232,274,366,0,566
232,275,361,0,568
233,277,372,0,568
233,276,354,0,570
232,276,368,0,570
233,277,354,0,570
235,275,357,0,567
235,274,363,0,565
232,275,356,0,567
234,273,378,0,569
234,269,360,0,571
234,271,360,0,570
231,270,356,0,568
232,271,356,0,574
234,272,366,0,574
233,272,365,0,573
234,269,355,0,571
231,269,370,0,578
235,270,359,0,575
233,271,378,0,578
231,269,356,0,572
232,270,355,0,570
234,269,359,0,569
232,267,354,0,575
231,266,356,0,573
233,267,362,0,573
232,266,354,0,575
234,265,359,0,574
234,264,354,0,572
231,265,366,0,572
233,267,366,0,571
235,266,365,0,572
233,265,356,0,575
235,265,365,0,580
234,260,356,0,579
234,260,358,0,581
235,261,355,0,576
236,259,360,0,575
236,262,353,0,575
233,258,375,0,579
233,261,356,0,573
234,259,352,0,573
234,257,381,0,578
234,260,351,0,574
238,256,378,0,575
237,261,357,0,576
235,262,355,0,573
238,259,365,0,565
233,261,362,0,564
236,258,362,0,562
236,261,358,0,563
236,261,358,0,566
236,260,361,0,570
234,285,392,0,564
232,287,358,0,570
235,287,355,0,568
233,286,362,0,572
234,286,358,0,566
235,285,360,0,571
235,284,362,0,567
235,283,361,0,571
232,283,357,0,576
231,282,356,0,573
233,281,354,0,575
233,280,354,0,569
232,278,352,0,573
231,277,360,0,572
232,277,353,0,574
234,275,358,0,574
234,273,365,0,573
230,269,359,0,584
230,269,362,0,611
230,270,365,0,574
231,264,357,0,577
234,265,357,0,575
233,270,355,0,577
231,271,355,0,574
231,268,355,0,574
232,264,357,0,575
232,264,366,0,576
230,262,369,0,571
232,262,361,0,572
232,262,365,0,575
232,263,358,0,579
230,265,374,0,578
229,262,397,0,581
229,258,353,0,579
230,261,353,0,580
232,268,369,0,579
229,265,358,0,577
230,267,358,0,579
231,270,361,0,578
230,271,401,0,578
231,271,368,0,583
231,271,355,0,581
231,273,352,0,583
232,273,359,0,585
231,273,358,0,580
234,273,369,0,575
232,273,358,0,577
233,273,353,0,580
234,272,351,0,581
233,272,355,0,578
234,271,380,0,576
233,271,354,0,575
232,270,368,0,575
231,269,362,0,576
232,269,360,0,581
231,268,363,0,582
234,268,364,0,578
233,267,357,0,577
234,266,357,0,579
232,265,354,0,584
235,261,355,0,570
233,262,359,0,571
234,260,354,0,575
232,257,355,0,572
235,255,378,0,570
235,255,356,0,577
236,257,365,0,575
234,254,385,0,575
234,250,355,0,576
235,249,359,0,568
232,255,353,0,573
231,241,360,0,573
234,246,370,0,575
233,247,388,0,578
231,248,440,0,575
233,239,405,0,573
232,239,374,0,574
231,238,375,0,570
233,247,440,0,570
242,377,369,0,546
241,376,354,0,550
243,377,361,0,547
241,377,354,0,547
241,376,352,0,549
241,377,354,0,550
241,377,353,0,549
245,376,351,0,547
242,376,358,0,547
242,377,354,0,551
245,376,365,0,549
242,376,366,0,548
242,377,364,0,548
245,377,354,0,519
243,377,353,0,544
244,378,357,0,548
244,377,349,0,546
243,380,355,0,548
242,378,349,0,548
242,379,353,0,550
242,379,351,0,546
244,378,351,0,546
243,377,368,0,545
245,377,352,0,549
243,378,368,0,548
241,377,354,0,546
244,377,354,0,546
241,375,350,0,549
245,374,429,0,545
243,376,392,0,543
243,376,384,0,548
244,376,355,0,545
245,376,358,0,544
242,377,354,0,546
242,376,353,0,550
245,375,351,0,546
242,375,353,0,547
243,376,352,0,546
242,376,373,0,545
246,375,354,0,547
243,377,354,0,550
244,376,361,0,547
246,376,351,0,547
246,376,371,0,546
244,376,353,0,550
245,377,352,0,548
244,377,350,0,550
247,376,351,0,546
244,377,357,0,545
245,377,349,0,546
247,376,351,0,545
246,377,355,0,546
246,377,355,0,547
247,377,358,0,546
244,377,376,0,549
247,376,360,0,547
244,377,354,0,548
245,376,354,0,548
243,377,354,0,547
243,377,362,0,546
246,377,350,0,550
244,378,360,0,551
247,370,423,0,549
246,351,537,0,550
243,391,403,0,556
242,389,493,0,553
245,399,513,0,551
245,400,355,0,551
245,401,366,0,551
244,401,526,0,550
242,401,537,0,548
244,398,533,0,547
242,400,460,0,548
244,393,526,0,550
242,399,518,0,556
