hextimestamp,temp,light,sound,pressure,humidity
0x56b28829,28.13,19,366,100.96,587
0x56b2882f,28.13,20,386,100.97,584
0x56b28836,28.13,20,375,100.96,583
0x56b2883d,28.06,19,378,100.96,586
0x56b28843,28.06,20,382,100.96,585
0x56b2884a,28.13,20,395,100.97,581
0x56b28850,28.13,21,368,100.97,583
0x56b28857,28.13,21,384,100.97,585
0x56b2885d,28.13,21,382,100.96,582
0x56b28864,28.13,21,385,100.97,584
0x56b2886b,28.13,21,400,100.96,587
0x56b28871,28.19,20,380,100.96,584
0x56b28878,28.19,20,378,100.97,581
0x56b2887e,28.25,20,384,100.97,577
0x56b28885,28.25,20,375,100.97,578
0x56b2888c,28.25,20,369,100.96,575
0x56b28892,28.25,21,370,100.96,578
0x56b28899,28.25,20,369,100.97,579
0x56b2889f,28.31,20,373,100.97,612
0x56b288a6,28.31,19,372,100.97,581
0x56b288ad,28.31,20,370,100.97,580
0x56b288b3,28.38,20,370,100.96,578
0x56b288ba,28.38,20,366,100.95,578
0x56b288c0,28.31,20,376,100.95,576
0x56b288c7,28.38,20,380,100.96,577
0x56b288ce,28.38,21,379,100.97,578
0x56b288d4,28.31,21,376,100.96,608
0x56b288db,28.31,20,370,100.97,574
0x56b288e1,28.31,21,372,100.97,573
0x56b288e8,28.38,23,369,100.97,573
0x56b288ee,28.31,20,366,100.96,571
0x56b288f5,28.38,20,376,100.97,572
0x56b288fc,28.38,19,371,100.96,574
0x56b28902,28.38,20,393,100.96,575
0x56b28909,28.44,21,382,100.96,571
0x56b28910,28.44,20,373,100.97,566
0x56b28916,28.38,20,378,100.96,567
0x56b2891d,28.44,20,387,100.96,566
0x56b28923,28.44,19,374,100.97,567
0x56b2892a,28.44,19,371,100.97,566
0x56b28931,28.44,19,365,100.97,568
0x56b28937,28.38,20,365,100.96,568
0x56b2893e,28.44,20,380,100.97,569
0x56b28944,28.38,20,370,100.96,564
0x56b2894b,28.44,19,368,100.97,566
0x56b28951,28.44,20,394,100.97,565
0x56b28958,28.44,19,378,100.97,565
0x56b2895f,28.44,20,380,100.96,566
0x56b28965,28.44,20,365,100.97,567
0x56b2896c,28.44,20,369,100.96,568
0x56b28973,28.44,20,397,100.97,568
0x56b28979,28.50,20,379,100.97,568
0x56b28980,28.50,20,371,100.97,566
0x56b28986,28.50,19,372,100.97,567
0x56b2898d,28.44,19,368,100.96,564
0x56b28994,28.44,19,384,100.96,566
0x56b2899a,28.50,19,403,100.97,565
0x56b289a1,28.50,19,371,100.97,563
0x56b289a8,28.50,20,382,100.98,564
0x56b289ae,28.50,20,386,100.98,565
0x56b289b5,28.50,20,374,100.96,565
0x56b289bc,28.50,20,362,100.97,566
0x56b289c2,28.50,20,400,100.97,561
0x56b289c9,28.50,21,381,100.97,560
0x56b289cf,28.50,20,386,100.96,565
0x56b289d6,28.50,21,369,100.96,571
0x56b289dc,28.44,20,374,100.96,569
0x56b289e3,28.50,20,384,100.97,566
0x56b289ea,28.50,20,379,100.97,563
0x56b289f0,28.50,20,371,100.97,560
0x56b289f7,28.50,20,374,100.97,561
0x56b289fd,28.50,21,377,100.97,562
0x56b28a04,28.56,21,376,100.97,563
0x56b28a0b,28.50,20,369,100.96,562
0x56b28a11,28.50,21,370,100.97,569
0x56b28a18,28.50,21,382,100.98,568
0x56b28a1e,28.44,20,374,100.96,562
0x56b28a25,28.50,20,376,100.97,567
0x56b28a2b,28.50,20,385,100.97,561
0x56b28a32,28.50,20,374,100.96,559
0x56b28a38,28.56,20,374,100.97,556
0x56b28a3f,28.50,20,403,100.96,557
0x56b28a46,28.50,21,383,100.96,562
0x56b28a4b,28.50,20,390,100.96,558
0x56b28a52,28.56,20,377,100.97,562
0x56b28a59,28.56,21,384,100.97,559
0x56b28a5f,28.56,20,371,100.96,561
0x56b28a66,28.56,21,370,100.97,560
0x56b28a6c,28.56,20,394,100.97,560
0x56b28a73,28.56,20,377,100.97,563
0x56b28a7a,28.56,21,384,100.97,561
0x56b28a80,28.63,21,386,100.97,563
0x56b28a87,28.56,22,398,100.97,559
0x56b28a8d,28.63,21,370,100.97,560
0x56b28a94,28.56,21,373,100.97,561
0x56b28a9a,28.56,22,366,100.97,560
0x56b28aa1,28.56,22,366,100.98,562
0x56b28aa7,28.50,21,377,100.97,563
0x56b28aae,28.50,21,377,100.97,558
0x56b28ab5,28.56,22,376,100.97,557
0x56b28abb,28.50,21,378,100.96,555
0x56b28ac2,28.50,21,377,100.96,557
0x56b28ac8,28.56,21,387,100.97,555
0x56b28acf,28.50,21,368,100.96,556
0x56b28ad5,28.50,21,383,100.98,558
