hextimestamp,temp,light,sound,pressure,humidity
0x56b2882e,28.75,130,504,100.97,561
0x56b28834,28.81,130,453,100.97,563
0x56b2883b,28.69,131,445,100.96,567
0x56b28842,28.63,131,401,100.96,565
0x56b28848,28.69,131,444,100.97,563
0x56b2884f,28.75,130,454,100.98,566
0x56b28855,28.75,130,503,100.98,563
0x56b2885c,28.75,130,459,100.97,564
0x56b28862,28.81,131,512,100.97,563
0x56b28869,28.75,131,502,100.96,563
0x56b28870,28.81,131,473,100.96,560
0x56b28876,28.81,130,421,100.96,559
0x56b2887d,28.81,131,445,100.96,560
0x56b28883,28.88,131,516,100.97,559
0x56b2888a,28.81,129,427,100.96,557
0x56b28890,28.81,130,490,100.96,557
0x56b28897,28.81,130,398,100.96,559
0x56b2889e,28.81,131,381,100.97,561
0x56b288a4,28.88,131,505,100.98,558
0x56b288ab,28.81,130,509,100.97,560
0x56b288b2,28.81,131,515,100.95,563
0x56b288b8,28.88,133,386,100.96,562
0x56b288bf,28.94,131,378,100.96,559
0x56b288c5,28.88,130,529,100.95,559
0x56b288cc,28.94,130,379,100.97,559
0x56b288d3,28.94,131,367,100.97,557
0x56b288d9,28.94,131,380,100.97,553
0x56b288e0,28.94,131,352,100.98,559
0x56b288e6,28.88,131,365,100.97,558
0x56b288ed,28.94,131,477,100.97,558
0x56b288f4,29.00,129,387,100.99,558
0x56b288fa,28.94,131,394,100.96,555
0x56b28901,28.94,131,389,100.95,556
0x56b28907,29.00,131,390,100.96,554
0x56b2890e,29.00,131,623,100.96,553
0x56b28915,29.00,131,448,100.96,557
0x56b2891b,29.00,130,396,100.96,553
0x56b28922,29.00,130,368,100.97,556
0x56b28928,29.00,130,362,100.97,554
0x56b2892f,29.06,130,369,100.98,554
0x56b28936,29.06,131,361,100.98,554
0x56b2893c,29.06,130,426,100.97,555
0x56b28943,29.06,131,390,100.97,550
0x56b28949,29.06,131,419,100.96,553
0x56b28950,29.06,131,506,100.97,550
0x56b28956,29.13,130,430,100.97,551
0x56b2895d,29.13,130,510,100.98,551
0x56b28964,29.13,131,391,100.98,551
0x56b2896a,29.13,130,512,100.97,552
0x56b28971,29.06,131,423,100.96,550
0x56b28978,29.13,131,384,100.98,557
0x56b2897e,29.00,130,370,100.95,560
0x56b28985,29.06,130,505,100.96,559
0x56b2898b,29.13,131,366,100.97,557
0x56b28992,29.06,130,393,100.96,556
0x56b28999,29.13,131,397,100.98,556
0x56b2899f,29.06,130,381,100.98,553
0x56b289a6,29.00,131,396,100.97,556
0x56b289ad,29.00,131,403,100.96,553
0x56b289b3,28.94,131,389,100.96,551
0x56b289ba,28.94,130,395,100.96,553
0x56b289c0,29.00,131,376,100.97,550
0x56b289c7,29.00,130,381,100.96,551
0x56b289ce,29.06,131,403,100.96,553
0x56b289d4,29.13,130,411,100.98,551
0x56b289db,29.00,131,390,100.95,551
0x56b289e1,29.13,130,390,100.98,547
0x56b289e8,29.06,130,381,100.96,513
0x56b289ee,29.13,131,369,100.98,551
0x56b289f5,29.06,131,395,100.96,547
0x56b289fc,29.00,131,398,100.96,548
0x56b28a02,29.13,131,488,100.98,548
0x56b28a09,29.06,130,389,100.97,548
0x56b28a0f,29.06,131,384,100.97,547
0x56b28a16,29.06,131,384,100.96,549
0x56b28a1c,29.13,130,394,100.98,550
0x56b28a23,29.06,130,391,100.96,542
0x56b28a2a,29.13,130,370,100.97,544
0x56b28a30,29.06,130,365,100.96,543
0x56b28a37,29.19,129,371,100.98,544
0x56b28a3d,29.13,130,382,100.97,545
0x56b28a44,29.13,130,507,100.97,545
0x56b28a4a,29.06,130,511,100.98,544
0x56b28a50,29.00,130,433,100.96,544
0x56b28a57,28.94,130,397,100.95,545
0x56b28a5d,29.06,131,397,100.98,552
0x56b28a64,29.06,130,394,100.98,550
0x56b28a6b,28.94,130,460,100.96,549
0x56b28a71,28.94,130,507,100.96,545
0x56b28a78,29.06,130,488,100.98,545
0x56b28a7e,28.94,131,513,100.96,546
0x56b28a85,29.00,130,447,100.98,545
0x56b28a8c,28.94,131,370,100.96,547
0x56b28a92,29.00,130,423,100.97,545
0x56b28a99,28.94,118,372,100.97,548
0x56b28a9f,28.94,132,386,100.97,547
0x56b28aa6,28.94,132,383,100.97,548
0x56b28aac,28.94,132,400,100.96,547
0x56b28ab3,29.06,132,509,100.98,544
0x56b28aba,29.00,131,518,100.96,542
0x56b28ac0,29.13,132,408,100.98,547
0x56b28ac7,29.06,132,507,100.97,543
0x56b28acd,29.06,131,382,100.98,547
0x56b28ad4,29.00,131,507,100.97,547
0x56b28ada,29.00,131,428,100.97,544
0x56b28ae1,29.00,132,401,100.98,547
0x56b28ae8,29.00,131,479,100.98,543
0x56b28aee,29.00,131,400,100.99,548
0x56b28af5,28.94,131,482,100.97,545
0x56b28afb,28.81,133,439,100.94,548
