0x575a969b,24.63,11,360,101.85,568
0x575a969d,25.19,10,399,101.96,563
0x575a969e,24.88,10,357,101.88,568
0x575a969f,24.94,10,363,101.90,563
0x575a96a1,25.00,10,443,101.90,564
0x575a96a3,25.06,10,537,101.92,564
0x575a96a4,25.13,10,396,101.93,564
0x575a96a6,25.25,10,447,101.96,567
0x575a96a8,24.75,10,399,101.85,563
0x575a96a9,24.88,11,378,101.87,564
0x575a96ab,25.06,11,394,101.92,566
0x575a96ac,25.06,10,429,101.91,564
0x575a96ad,24.88,11,362,101.87,564
0x575a96af,25.06,11,651,101.91,561
0x575a96b1,24.81,11,353,101.85,563
0x575a96b2,25.19,10,368,101.93,562
0x575a96b4,24.94,10,364,101.88,562
0x575a96b6,24.63,10,355,101.81,559
0x575a96b8,25.38,11,394,101.97,563
0x575a96b9,24.88,10,357,101.86,565
0x575a96bb,25.19,10,358,101.93,561
0x575a96bd,24.75,10,357,101.83,561
0x575a96be,24.81,10,488,101.85,558
0x575a96bf,24.94,10,360,101.87,561
0x575a96c1,25.06,11,382,101.89,561
0x575a96c2,25.06,10,400,101.89,562
0x575a96c4,24.94,10,365,101.87,560
0x575a96c6,25.00,11,504,101.88,561
0x575a96c6,25.06,9,498,101.89,563
0x575a96c8,25.00,9,466,101.88,561
0x575a96ca,25.00,9,369,101.87,562
0x575a96cc,25.06,10,405,101.89,56
0x575a96cd,25.06,10,351,101.89,557
0x575a96cf,25.19,9,366,101.92,559
0x575a96d1,25.06,10,360,101.89,56
0x575a96d2,24.75,9,371,101.83,559
0x575a96d4,25.06,10,362,101.88,55
0x575a96d5,24.94,9,366,101.86,557
0x575a96d6,25.19,11,544,101.91,55
0x575a96d8,25.06,10,479,101.88,561
0x575a96da,25.00,10,471,101.87,560
0x575a96da,24.94,10,464,101.87,557
0x575a96dc,24.75,9,452,101.81,560
0x575a96de,25.00,10,475,101.87,55
0x575a96e0,25.19,10,506,101.90,560
0x575a96e1,24.88,10,532,101.85,561
0x575a96e3,24.75,9,361,101.82,556
0x575a96e5,25.06,10,484,101.88,55
0x575a96e6,24.94,10,537,101.86,557
0x575a96e8,25.06,10,361,101.88,559
0x575a96ea,25.06,10,503,101.88,555
0x575a96ec,24.94,9,529,101.86,559
0x575a96ed,24.94,9,477,101.86,559
0x575a96ef,25.13,9,540,101.90,559
0x575a96f0,25.19,10,460,101.91,55
0x575a96f0,25.25,9,431,101.91,554
0x575a96f1,25.06,10,533,101.86,55
0x575a96f3,25.13,10,415,101.88,555
0x575a96f4,25.19,10,380,101.90,558
0x575a96f5,25.06,10,360,101.88,557
0x575a96f6,25.13,10,423,101.88,558
0x575a96f7,25.25,11,379,101.90,560
0x575a96f9,25.13,10,406,101.89,555
0x575a96fa,25.06,11,362,101.88,557
0x575a96fb,25.13,9,373,101.88,553
0x575a96fd,25.19,10,360,101.89,55
0x575a96ff,25.19,10,385,101.89,557
0x575a9700,25.31,10,391,101.92,555
0x575a9702,25.13,9,374,101.87,554
0x575a9704,25.25,11,427,101.91,55
0x575a9706,25.19,10,361,101.89,554
