hextimestamp,temp,light,sound,pressure,humidity
0x56b2882a,24.56,173,518,100.95,584
0x56b28831,24.44,173,491,100.95,584
0x56b28838,24.44,174,431,100.95,589
0x56b2883e,24.44,172,504,100.95,592
0x56b28845,24.44,173,457,100.95,589
0x56b2884b,24.44,174,511,100.95,592
0x56b28852,24.38,172,508,100.95,592
0x56b28859,24.44,174,482,100.96,588
0x56b2885f,24.38,174,509,100.95,588
0x56b28866,24.31,174,508,100.95,589
0x56b2886c,24.38,174,442,100.95,593
0x56b28873,24.50,173,512,100.95,585
0x56b28879,24.44,174,407,100.95,583
0x56b28880,24.44,175,518,100.96,589
0x56b28887,24.44,174,488,100.95,587
0x56b2888d,24.44,174,487,100.94,593
0x56b28894,24.44,175,471,100.95,590
0x56b2889a,24.50,173,511,100.96,586
0x56b288a1,24.44,173,518,100.96,587
0x56b288a8,24.50,174,508,100.96,585
0x56b288ae,24.50,173,512,100.96,589
0x56b288b5,24.44,173,513,100.95,624
0x56b288bb,24.44,174,502,100.94,587
0x56b288c2,24.50,173,459,100.94,587
0x56b288c9,24.50,173,529,100.95,582
0x56b288cf,24.44,174,477,100.95,583
0x56b288d6,24.44,173,482,100.95,585
0x56b288dc,24.44,173,398,100.95,593
0x56b288e3,24.44,174,514,100.96,584
0x56b288e9,24.44,174,510,100.96,581
0x56b288f0,24.44,174,516,100.96,588
0x56b288f7,24.44,173,510,100.96,575
0x56b288fd,24.44,173,521,100.95,578
0x56b28904,24.38,174,502,100.95,577
0x56b2890b,24.31,174,509,100.95,585
0x56b28911,24.31,173,497,100.95,587
0x56b28918,24.38,173,415,100.95,583
0x56b2891e,24.31,174,511,100.95,584
0x56b28925,24.25,174,495,100.95,590
0x56b2892c,24.31,174,421,100.96,588
0x56b28932,24.31,174,508,100.95,583
0x56b28939,24.25,174,526,100.95,586
0x56b2893f,24.25,174,513,100.96,585
0x56b28946,24.25,174,451,100.95,589
0x56b2894c,24.31,173,432,100.95,583
0x56b28953,24.31,173,485,100.95,581
0x56b2895a,24.38,174,507,100.95,583
0x56b28960,24.38,172,519,100.95,580
0x56b28967,24.25,174,490,100.95,577
0x56b2896e,24.19,173,508,100.95,581
0x56b28974,24.13,173,452,100.95,590
0x56b2897b,24.13,173,496,100.95,588
0x56b28981,24.13,174,514,100.95,585
0x56b28988,24.13,174,508,100.95,589
0x56b2898f,24.13,174,477,100.95,589
0x56b28995,24.13,174,508,100.95,588
0x56b2899c,24.19,173,509,100.95,588
0x56b289a2,24.13,173,505,100.96,584
0x56b289a9,24.13,173,498,100.96,590
0x56b289b0,24.19,173,527,100.96,588
0x56b289b7,24.25,173,518,100.95,588
0x56b289bd,24.25,173,516,100.95,587
0x56b289c4,24.25,173,508,100.95,588
0x56b289ca,24.31,174,516,100.95,582
0x56b289d1,24.25,173,513,100.95,584
0x56b289d8,24.19,174,514,100.95,588
0x56b289de,24.19,173,424,100.96,589
0x56b289e5,24.25,174,510,100.95,589
0x56b289eb,24.19,174,505,100.95,590
0x56b289f2,24.19,174,530,100.96,592
0x56b289f8,24.13,174,512,100.95,589
0x56b289ff,24.13,173,407,100.95,588
0x56b28a06,24.13,174,591,100.95,590
0x56b28a0c,24.06,174,507,100.95,592
0x56b28a13,24.06,172,510,100.95,592
0x56b28a19,24.06,174,519,100.95,592
0x56b28a20,24.06,175,511,100.95,589
0x56b28a26,24.06,174,431,100.95,589
0x56b28a2d,24.13,173,416,100.95,588
0x56b28a33,24.13,174,473,100.95,589
0x56b28a3a,24.13,173,500,100.95,587
0x56b28a41,24.13,174,496,100.95,586
0x56b28a47,24.13,174,511,100.95,590
0x56b28a4d,24.13,173,514,100.94,589
0x56b28a54,24.13,173,512,100.95,590
0x56b28a5a,24.06,173,512,100.95,587
0x56b28a61,24.06,174,504,100.95,591
0x56b28a67,24.13,174,495,100.95,589
0x56b28a6e,24.13,174,520,100.95,552
0x56b28a75,24.13,174,513,100.95,589
0x56b28a7b,24.06,175,508,100.95,592
0x56b28a82,24.13,173,501,100.95,587
0x56b28a88,24.13,175,507,100.95,584
0x56b28a8f,24.06,174,519,100.95,587
0x56b28a95,24.06,174,502,100.95,585
0x56b28a9c,24.13,174,510,100.95,585
0x56b28aa3,24.13,174,512,100.95,580
0x56b28aa9,24.06,174,505,100.95,584
0x56b28ab0,24.00,173,507,100.95,590
0x56b28ab6,24.00,174,522,100.95,587
0x56b28abd,24.06,175,516,100.94,588
0x56b28ac3,24.00,174,521,100.94,588
0x56b28aca,24.00,173,511,100.94,589
0x56b28ad1,24.06,173,517,100.95,592
0x56b28ad7,24.13,175,511,100.96,588
0x56b28ade,24.13,174,514,100.96,588
0x56b28ae4,24.13,174,507,100.96,590
0x56b28aeb,24.19,173,506,100.96,591
0x56b28af1,24.25,174,516,100.95,586
0x56b28af8,24.25,174,496,100.95,582
0x56b28aff,24.31,173,514,100.95,587
0x56b28b05,24.38,172,505,100.95,585
0x56b28b0c,24.44,174,504,100.95,581
0x56b28b12,24.38,174,508,100.96,579
0x56b28b19,24.31,173,516,100.95,584
0x56b28b20,24.31,172,482,100.95,585
0x56b28b26,24.31,174,507,100.95,587
0x56b28b2d,24.31,174,414,100.96,585
0x56b28b33,24.31,173,439,100.96,588
0x56b28b3a,24.31,174,521,100.96,587
0x56b28b41,24.31,174,500,100.95,589
0x56b28b47,24.25,174,515,100.95,584
0x56b28b4e,24.25,173,499,100.95,584
0x56b28b54,24.25,174,495,100.95,595
0x56b28b5b,24.31,174,446,100.96,582
0x56b28b61,24.31,174,518,100.96,583
0x56b28b68,24.25,174,511,100.96,585
0x56b28b6f,24.25,173,522,100.96,584
0x56b28b75,24.25,173,432,100.96,581
0x56b28b7c,24.19,174,508,100.96,581
0x56b28b82,24.13,173,518,100.96,583
0x56b28b89,24.13,173,513,100.96,586
0x56b28b8f,24.19,173,424,100.96,586
0x56b28b96,24.19,173,488,100.96,583
0x56b28b9d,24.19,173,514,100.95,585
0x56b28ba3,24.25,174,487,100.96,588
0x56b28baa,24.31,173,513,100.96,586
0x56b28bb0,24.25,173,496,100.96,586
0x56b28bb7,24.31,173,507,100.96,582
0x56b28bbe,24.31,174,496,100.96,582
0x56b28bc4,24.31,174,511,100.96,577
0x56b28bcb,24.31,174,465,100.95,581
0x56b28bd1,24.31,174,525,100.96,581
0x56b28bd8,24.38,174,517,100.96,581
0x56b28bdf,24.44,173,518,100.96,576
0x56b28be6,24.38,173,495,100.96,578
0x56b28bec,24.38,173,509,100.96,579
0x56b28bf3,24.31,174,513,100.96,581
0x56b28bfa,24.31,173,512,100.96,579
0x56b28c00,24.31,174,514,100.96,577
0x56b28c0a,24.25,173,520,100.96,584
0x56b28c10,24.25,173,544,100.96,583
0x56b28c17,24.25,174,508,100.96,584
0x56b28c1e,24.19,173,516,100.96,582
0x56b28c25,24.19,168,519,100.96,582
0x56b28c2c,24.25,171,508,100.96,579
0x56b28c33,24.25,171,506,100.96,577
0x56b28c3c,24.19,172,535,100.96,581
0x56b28c43,24.19,172,536,100.96,578
0x56b28c49,24.25,172,505,100.96,578
0x56b28c50,24.13,171,512,100.96,580
0x56b28c57,24.13,171,515,100.96,582
0x56b28c5d,24.06,171,507,100.96,583
0x56b28c64,24.13,170,510,100.97,579
0x56b28c6a,24.06,171,514,100.97,578
0x56b28c71,24.06,172,515,100.97,583
0x56b28c78,24.13,172,510,100.97,583
0x56b28c7f,24.13,169,514,100.96,578
0x56b28c86,24.06,184,514,100.96,579
0x56b28c8c,24.13,173,507,100.96,584
0x56b28c93,24.19,191,457,100.97,580
0x56b28c99,24.19,172,515,100.96,576
0x56b28ca0,24.19,168,512,100.96,580
0x56b28ca6,24.13,167,511,100.96,578
0x56b28cad,24.19,170,511,100.96,580
0x56b28cb3,24.13,171,464,100.96,573
0x56b28cba,24.06,171,411,100.96,574
0x56b28cc1,24.00,171,380,100.96,581
0x56b290c6,24.00,134,510,100.96,561
