hextimestamp,temp,light,sound,pressure,humidity
0x56b2882c,28.31,5,417,101.03,678
0x56b28833,28.38,6,441,101.04,676
0x56b28839,28.38,5,451,101.04,673
0x56b28840,28.38,6,451,101.04,674
0x56b28846,28.38,5,438,101.05,676
0x56b2884d,28.38,5,420,101.05,677
0x56b28854,28.38,6,434,101.04,675
0x56b2885a,28.44,6,425,101.05,676
0x56b28861,28.38,6,449,101.04,678
0x56b28867,28.38,5,444,101.04,673
0x56b2886e,28.38,5,434,101.04,673
0x56b28874,28.44,6,442,101.04,672
0x56b2887b,28.44,6,421,101.04,676
0x56b28882,28.44,5,431,101.04,673
0x56b28888,28.44,6,416,101.03,672
0x56b2888f,28.38,6,426,101.02,675
0x56b28895,28.38,6,417,101.04,636
0x56b2889c,28.38,5,428,101.05,671
0x56b288a3,28.38,5,434,101.05,674
0x56b288a9,28.44,5,429,101.05,676
0x56b288b0,28.44,6,425,101.05,672
0x56b288b6,28.44,6,557,101.04,669
0x56b288bd,28.44,6,450,101.03,673
0x56b288c4,28.44,5,473,101.03,672
0x56b288ca,28.38,5,433,101.03,675
0x56b288d1,28.50,5,426,101.05,672
0x56b288d7,28.50,6,428,101.05,672
0x56b288de,28.50,6,433,101.05,673
0x56b288e5,28.56,6,452,101.06,673
0x56b288eb,28.50,6,433,101.05,674
0x56b288f2,28.50,5,436,101.04,669
0x56b288f9,28.50,6,433,101.04,667
0x56b288ff,28.56,5,444,101.04,672
0x56b28906,28.56,6,420,101.04,668
0x56b2890c,28.56,5,450,101.03,671
0x56b28913,28.56,5,420,101.04,670
0x56b2891a,28.56,6,445,101.04,667
0x56b28920,28.63,5,426,101.05,669
0x56b28927,28.56,6,424,101.04,667
0x56b2892d,28.56,6,413,101.05,665
0x56b28934,28.63,5,429,101.04,666
0x56b2893a,28.56,5,426,101.04,670
0x56b28941,28.56,5,433,101.04,668
0x56b28948,28.56,6,449,101.04,668
0x56b2894e,28.56,6,450,101.04,643
0x56b28955,28.56,6,441,101.04,664
0x56b2895b,28.56,5,444,101.04,666
0x56b28962,28.56,6,436,101.04,666
0x56b28969,28.63,6,597,101.05,668
0x56b2896f,28.63,6,427,101.05,664
0x56b28976,28.63,5,427,101.04,662
0x56b2897d,28.56,5,422,101.04,664
0x56b28983,28.56,6,414,101.03,666
0x56b2898a,28.63,6,435,101.04,662
0x56b28990,28.56,5,417,101.04,659
0x56b28997,28.56,5,450,101.04,667
0x56b2899d,28.63,6,470,101.05,662
0x56b289a4,28.56,6,434,101.05,663
0x56b289ab,28.56,5,417,101.06,662
0x56b289b2,28.50,5,428,101.04,662
0x56b289b8,28.56,6,420,101.04,663
0x56b289bf,28.63,6,424,101.04,659
0x56b289c5,28.69,5,463,101.05,663
0x56b289cc,28.69,5,435,101.04,660
0x56b289d3,28.69,6,578,101.04,662
0x56b289d9,28.63,6,440,101.04,661
0x56b289e0,28.63,6,460,101.04,668
0x56b289e6,28.69,6,416,101.05,665
0x56b289ed,28.69,5,428,101.05,661
0x56b289f3,28.69,6,425,101.04,659
0x56b289fa,28.69,5,571,101.04,665
0x56b28a01,28.69,6,420,101.04,663
0x56b28a07,28.69,6,585,101.03,663
0x56b28a0e,28.63,6,508,101.03,662
0x56b28a14,28.63,6,503,101.04,663
0x56b28a1b,28.63,6,455,101.04,660
0x56b28a21,28.63,6,422,101.04,663
0x56b28a28,28.63,6,438,101.04,661
0x56b28a2f,28.63,6,484,101.04,663
0x56b28a35,28.63,6,420,101.04,663
0x56b28a3c,28.63,6,452,101.04,663
0x56b28a42,28.63,6,484,101.03,666
0x56b28a49,28.63,5,438,101.04,662
0x56b28a4f,28.63,5,479,101.04,661
0x56b28a55,28.56,6,429,101.04,665
0x56b28a5c,28.63,6,424,101.04,663
0x56b28a62,28.63,6,566,101.04,665
0x56b28a69,28.56,6,435,101.04,663
0x56b28a70,28.56,5,438,101.04,662
0x56b28a76,28.56,5,437,101.04,659
0x56b28a7d,28.56,6,453,101.04,662
0x56b28a83,28.56,6,433,101.05,660
0x56b28a8a,28.50,7,532,101.04,660
0x56b28a90,28.56,6,410,101.04,660
0x56b28a97,28.50,7,547,101.04,661
0x56b28a9e,28.63,6,423,101.06,657
0x56b28aa4,28.56,6,424,101.05,661
0x56b28aab,28.50,6,482,101.05,657
0x56b28ab1,28.56,6,421,101.05,659
0x56b28ab8,28.50,6,460,101.04,661
0x56b28abe,28.50,6,438,101.03,668
0x56b28ac5,28.56,5,437,101.03,656
0x56b28acc,28.56,6,422,101.03,660
0x56b28ad2,28.56,6,428,101.05,660
0x56b28ad9,28.56,6,428,101.05,662
0x56b28adf,28.63,6,453,101.06,656
0x56b28ae6,28.63,6,602,101.05,659
0x56b28aed,28.63,6,449,101.05,659
0x56b28af3,28.56,6,508,101.04,656
0x56b28afa,28.56,6,448,101.03,636
0x56b28b00,28.63,6,423,101.05,661
0x56b28b07,28.56,5,426,101.05,660
0x56b28b0e,28.50,6,470,101.05,658
0x56b28b14,28.50,6,467,101.05,658
0x56b28b1b,28.44,5,449,101.04,657
0x56b28b21,28.44,6,431,101.05,658
0x56b28b28,28.44,6,429,101.05,659
0x56b28b2e,28.50,6,434,101.05,659
0x56b28b35,28.56,6,425,101.05,656
0x56b28b3c,28.50,6,422,101.04,658
0x56b28b42,28.50,7,436,101.04,655
0x56b28b49,28.56,6,422,101.05,656
0x56b28b4f,28.50,6,433,101.04,661
0x56b28b56,28.56,6,436,101.04,656
0x56b28b5c,28.63,6,454,101.05,656
0x56b28b63,28.63,6,469,101.05,656
0x56b28b6a,28.63,6,448,101.05,654
0x56b28b70,28.63,6,482,101.05,657
0x56b28b77,28.63,7,434,101.06,658
0x56b28b7d,28.69,6,447,101.06,652
0x56b28b84,28.56,6,423,101.04,655
0x56b28b8b,28.63,5,459,101.05,654
0x56b28b91,28.56,6,427,101.05,654
0x56b28b98,28.56,6,437,101.05,656
0x56b28b9e,28.56,6,429,101.04,656
0x56b28ba5,28.63,6,457,101.05,654
0x56b28bab,28.63,6,445,101.05,651
0x56b28bb2,28.69,6,449,101.05,650
0x56b28bb9,28.69,6,457,101.05,655
0x56b28bbf,28.75,5,422,101.05,655
0x56b28bc6,28.69,5,452,101.05,655
0x56b28bcc,28.69,5,435,101.04,655
0x56b28bd3,28.69,5,424,101.05,654
0x56b28bda,28.69,5,492,101.05,655
0x56b28be1,28.63,5,453,101.05,651
0x56b28be7,28.69,6,496,101.05,654
