  File "linux.py", line 55
    print(pad(str(s), 10), end=': ')
                              ^
SyntaxError: invalid syntax
  File "/home/pi/Documents/Git/IoT/linux.py", line 56
    print(pad(str(s), 10), end=': ')
                              ^
SyntaxError: invalid syntax
       Name       Temp      Light      Sound   Pressure   Humidity
     Atlas:      31.06        246        346     100.37        495 
      Maia:      29.50        209        339     100.38        533 
     Atlas:      31.06        246        336     100.37        492 
      Maia:      29.50        209        339     100.38        533 
     Atlas:      31.06        246        336     100.37        492 
      Maia:      29.50        208        355     100.39        534 
     Atlas:      31.00        246        352     100.37        492 
      Maia:      29.50        208        355     100.39        534 
     Atlas:      31.00        246        352     100.37        492 
      Maia:      29.50        208        342     100.38        538 
     Atlas:      31.00        246        366     100.37        493 
      Maia:      29.50        208        342     100.38        538 
     Atlas:      31.00        246        366     100.37        493 
      Maia:      29.50        208        346     100.38        538 
     Atlas:      31.00        246        379     100.36        492 
      Maia:      29.50        208        346     100.38        538 
     Atlas:      31.00        246        379     100.36        492 
      Maia:      29.56        208        358     100.39        533 
     Atlas:      31.00        246        339     100.37        495 
      Maia:      29.56        208        358     100.39        533 
     Atlas:      31.00        246        339     100.37        495 
      Maia:      29.56        208        350     100.38        535 
     Atlas:      31.00        246        345     100.37        497 
      Maia:      29.56        208        350     100.38        535 
     Atlas:      31.00        246        345     100.37        497 
      Maia:      29.56        208        343     100.38        533 
     Atlas:      31.00        246        339     100.36        496 
      Maia:      29.56        208        343     100.38        533 
     Atlas:      31.00        246        339     100.36        496 
      Maia:      29.63        208        348     100.38        537 
     Atlas:      31.06        246        379     100.37        498 
      Maia:      29.63        208        348     100.38        537 
     Atlas:      31.06        246        379     100.37        498 
      Maia:      29.63        208        354     100.39        540 
     Atlas:      31.00        245        358     100.37        500 
      Maia:      29.63        208        354     100.39        540 
     Atlas:      31.00        245        358     100.37        500 
      Maia:      29.63        208        382     100.38        541 
     Atlas:      31.00        245        357     100.37        501 
      Maia:      29.63        208        382     100.38        541 
     Atlas:      31.00        245        357     100.37        501 
      Maia:      29.63        208        362     100.38        539 
     Atlas:      31.00        246        349     100.37        498 
      Maia:      29.63        208        362     100.38        539 
     Atlas:      31.00        246        349     100.37        498 
      Maia:      29.69        208        368     100.38        544 
     Atlas:      31.00        245        356     100.36        500 
      Maia:      29.69        208        368     100.38        544 
     Atlas:      31.00        245        356     100.36        500 
      Maia:      29.69        207        345     100.38        541 
     Atlas:      31.06        245        336     100.37        498 
      Maia:      29.69        207        345     100.38        541 
     Atlas:      31.06        245        336     100.37        498 
      Maia:      29.75        208        345     100.38        539 
     Atlas:      31.06        245        344     100.37        502 
      Maia:      29.75        208        345     100.38        539 
     Atlas:      31.06        245        344     100.37        502 
      Maia:      29.75        208        343     100.37        538 
     Atlas:      31.00        245        339     100.36        500 
      Maia:      29.75        208        343     100.37        538 
     Atlas:      31.00        245        339     100.36        500 
      Maia:      29.75        207        342     100.37        540 
     Atlas:      30.94        242        349     100.37        501 
      Maia:      29.75        207        342     100.37        540 
     Atlas:      30.94        242        349     100.37        501 
      Maia:      29.69        204        342     100.37        542 
     Atlas:      31.00        239        336     100.37        500 
      Maia:      29.69        204        342     100.37        542 
     Atlas:      31.00        239        336     100.37        500 
      Maia:      29.75        204        350     100.38        541 
     Atlas:      31.00        232        367     100.37        501 
      Maia:      29.75        204        350     100.38        541 
     Atlas:      31.00        232        367     100.37        501 
      Maia:      29.69        198        341     100.37        535 
     Atlas:      30.94        231        342     100.37        499 
      Maia:      29.69        198        341     100.37        535 
     Atlas:      30.94        231        342     100.37        499 
      Maia:      29.69        198        342     100.37        536 
     Atlas:      30.94        237        445     100.36        501 
      Maia:      29.69        198        342     100.37        536 
     Atlas:      30.94        237        445     100.36        501 
      Maia:      29.69        206        360     100.38        540 
     Atlas:      30.88        243        337     100.36        500 
      Maia:      29.69        206        360     100.38        540 
     Atlas:      30.88        243        337     100.36        500 
      Maia:      29.69        206        365     100.37        541 
     Atlas:      30.94        241        342     100.37        499 
      Maia:      29.69        206        365     100.37        541 
     Atlas:      30.94        241        342     100.37        499 
      Maia:      29.69        207        345     100.38        533 
     Atlas:      30.94        243        363     100.36        497 
      Maia:      29.69        207        345     100.38        533 
     Atlas:      30.94        243        363     100.36        497 
      Maia:      29.75        206        352     100.38        537 
     Atlas:      31.00        243        372     100.37        499 
      Maia:      29.75        206        352     100.38        537 
     Atlas:      31.00        243        372     100.37        499 
      Maia:      29.81        205        363     100.38        538 
     Atlas:      30.94        237        375     100.36
